age,monthly_income,years_at_company,job_satisfaction,overtime,distance_from_home,num_companies_worked,training_hours,attrition
22,25000,1,2,Yes,18,3,20,1
25,32000,2,3,Yes,15,2,25,1
28,45000,4,4,No,5,1,40,0
31,52000,6,4,No,7,1,45,0
35,60000,8,3,No,4,2,50,0
24,28000,1,1,Yes,22,4,15,1
29,40000,3,2,Yes,20,3,22,1
40,75000,12,4,No,3,1,60,0
45,90000,15,4,No,6,1,55,0
26,35000,2,2,Yes,25,4,18,1
33,55000,7,3,No,10,2,42,0
38,68000,10,4,No,8,1,48,0
23,27000,1,2,Yes,30,5,12,1
27,38000,3,3,No,12,2,30,0
30,47000,5,2,Yes,17,3,28,1
36,62000,9,4,No,5,1,52,0
42,80000,13,3,No,9,2,58,0
25,30000,2,1,Yes,28,4,16,1
32,50000,6,3,No,11,2,38,0
39,70000,11,4,No,6,1,54,0
21,24000,1,1,Yes,32,5,10,1
34,58000,7,3,No,9,2,44,0
29,42000,4,2,Yes,19,3,25,1
37,65000,9,4,No,4,1,50,0
44,85000,14,4,No,7,1,62,0
26,33000,2,2,Yes,21,4,19,1
31,48000,5,3,No,13,2,35,0
28,39000,3,1,Yes,24,4,20,1
41,72000,12,4,No,5,1,56,0
35,61000,8,3,No,8,2,46,0
24,29000,1,2,Yes,27,4,14,1
30,46000,4,2,Yes,16,3,27,1
43,82000,13,4,No,6,1,60,0
27,36000,2,3,No,14,2,32,0
33,54000,6,2,Yes,18,3,29,1
46,95000,16,4,No,4,1,65,0
22,26000,1,1,Yes,35,5,11,1
38,67000,10,3,No,7,2,49,0
29,41000,3,2,Yes,23,4,21,1
40,76000,12,4,No,5,1,57,0
25,31000,2,2,Yes,26,3,17,1
36,63000,9,4,No,8,1,51,0
32,51000,5,3,No,12,2,39,0
28,37000,2,1,Yes,29,4,18,1
45,88000,14,4,No,6,1,61,0
23,27500,1,2,Yes,20,4,13,1
34,57000,7,3,No,10,2,43,0
39,69000,11,4,No,5,1,53,0
27,40000,4,2,Yes,18,3,26,1
42,79000,13,4,No,7,1,59,0
